Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-07-04 11:00:00,0.0,1,5318.65,5323.6,5318.65,5322.24,0.0007306282882820134
2018-07-04 11:30:00,0.0,1,5321.96,5328.83,5321.1,5326.13,0.0009327002157777282
2018-07-04 12:00:00,0.11333333333333334,3,5325.68,5331.65,5325.58,5331.1,0.00024757303530952035
2018-07-04 12:30:00,0.0,1,5331.05,5332.85,5330.23,5332.42,-3.188096772138339e-05
2018-07-04 13:00:00,0.0,0,5331.92,5333.23,5329.17,5332.25,-0.0006716118561187604
2018-07-04 13:30:00,0.0,0,5332.63,5332.9,5328.67,5328.67,-0.001105952823391054
2018-07-04 14:00:00,0.24695,2,5328.45,5329.15,5322.62,5322.78,-0.00021607585661849096
2018-07-04 14:30:00,0.0,0,5322.94,5324.61,5320.46,5321.63,0.00038326773786960956
2018-07-04 15:00:00,0.0,0,5322.1,5324.92,5322.04,5323.67,-0.0011690500075922535
2018-07-04 15:30:00,0.0,0,5323.74,5323.88,5316.89,5317.45,-0.00043451314051303126
2018-07-04 16:00:00,0.0,1,5317.19,5317.19,5313.12,5315.14,1.8814162170951315e-06
2018-07-04 16:30:00,0.0,1,5315.89,5316.23,5312.75,5315.15,0.00028405323461449524
2018-07-04 17:00:00,0.0,1,5315.11,5320.21,5314.25,5316.66,0.0007219972561866741
2018-07-04 17:30:00,0.19063333333333332,3,5316.83,5320.5,5316.83,5320.5,0.007391094152472829
2018-07-05 09:00:00,-0.0516,1,5326.02,5367.79,5324.52,5359.97,-0.00028549010728126444
2018-07-05 09:30:00,0.0386,2,5359.95,5363.75,5354.33,5358.44,-0.0001381094314139301
2018-07-05 10:00:00,0.11566666666666665,3,5359.46,5360.83,5355.16,5357.7,-0.0003957704881552951
2018-07-05 10:30:00,0.2202,2,5359.01,5362.02,5348.62,5355.58,0.0007335449681195737
2018-07-05 11:00:00,0.24695,2,5356.0,5362.98,5354.79,5359.51,0.001722553757037306
2018-07-05 11:30:00,0.0,2,5358.89,5369.94,5358.56,5368.75,0.0007243010765015516
2018-07-05 12:00:00,0.0,4,5368.7,5375.5,5365.52,5372.64,0.002136329840637869
2018-07-05 12:30:00,0.0,1,5372.65,5384.75,5372.15,5384.13,2.9716522946039914e-05
2018-07-05 13:00:00,0.2294,2,5384.94,5388.08,5382.73,5384.29,0.001232457590747382
2018-07-05 13:30:00,0.0,2,5384.18,5390.94,5383.52,5390.93,-0.0011971703666690272
2018-07-05 14:00:00,0.4939,1,5391.47,5391.57,5381.87,5384.48,-0.0016207820474087404
2018-07-05 14:30:00,0.0,0,5384.22,5385.17,5375.6,5375.76,-0.001360733107027913
2018-07-05 15:00:00,0.0,1,5375.65,5377.27,5366.17,5368.45,-0.0015136859084460266
2018-07-05 15:30:00,0.0,0,5368.84,5371.58,5358.44,5360.33,8.394653170511818e-05
2018-07-05 16:00:00,0.0,0,5359.79,5370.01,5359.08,5360.78,3.917263661252596e-05
2018-07-05 16:30:00,0.0,1,5360.55,5367.0,5359.87,5360.99,0.001384978519352851
2018-07-05 17:00:00,0.0,1,5360.62,5372.25,5358.12,5368.42,-0.0003912530767935191
2018-07-05 17:30:00,0.23005,2,5367.9,5367.9,5366.31,5366.32,0.0022262354931042445
2018-07-06 09:00:00,0.06743333333333333,3,5387.18,5393.46,5376.2,5378.28,0.00026027239512024764
2018-07-06 09:30:00,0.0,0,5378.33,5387.05,5376.44,5379.68,0.0015416537379302063
